Mouse Gene,Human Gene
ASIC4,ASIC4
ADAMTS2,ADAMTS2
GFAP,GFAP
BMPR1B,BMPR1B
ANKFN1,ANKFN1
SLC17A8,SLC17A8
GLRA1,GLRA1
B4GALNT2,B4GALNT2
CHAT,CHAT
BCL11B,BCL11B
BGN,BGN
FREM2,FREM2
SLC17A6,SLC17A6
BRINP3,BRINP3
POU3F3,POU3F3
VWC2,VWC2
C1QL3,C1QL3
CAR3,CA3
CALB2,CALB2
CAMK2D,CAMK2D
CNR1,CNR1
ENPP6,ENPP6
RSPO1,RSPO1
CCNB1,CCNB1
LTF,LTF
COL14A1,COL14A1
TENM3,TENM3
PTPRK,PTPRK
EGR2,EGR2
FST,FST
SP8,SP8
COL15A1,COL15A1
LMO1,LMO1
TBC1D4,TBC1D4
MARCKSL1,MARCKSL1
CBLN2,CBLN2
CCDC3,CCDC3
CDCA7,CDCA7
CDH9,CDH9
CHRM2,CHRM2
CHRNA2,CHRNA2
ALK,ALK
CLDN5,CLDN5
SOX10,SOX10
CNTNAP5B,CNTNAP5
COBLL1,COBLL1
NR2F2,NR2F2
CPLX3,CPLX3
CRHR2,CRHR2
CTSS,CTSS
CUX2,CUX2
DNASE1L3,DNASE1L3
NPY2R,NPY2R
IL4RA,IL4R
EGFR,EGFR
ELFN1,ELFN1
PDLIM5,PDLIM5
PDGFRA,PDGFRA
IGF2,IGF2
MEIS2,MEIS2
B4GALNT3,B4GALNT3
PRSS23,PRSS23
LAMA3,LAMA3
CXCL14,CXCL14
FLRT3,FLRT3
PLCXD3,PLCXD3
IQGAP2,IQGAP2
SOX6,SOX6
EPHA7,EPHA7
SST,SST
FEZF2,FEZF2
ROR1,ROR1
TRP53I11,TP53I11
RGS5,RGS5
OTOF,OTOF
SEMA3E,SEMA3E
GRM1,GRM1
PTPRU,PTPRU
CALB1,CALB1
MOXD1,MOXD1
FLT1,FLT1
FNDC7,FNDC7
CCBE1,CCBE1
SPON1,SPON1
GRIK1,GRIK1
GAD1,GAD1
GAD2,GAD2
CEMIP,CEMIP
GPC6,GPC6
GRM8,GRM8
EGLN3,EGLN3
RGS6,RGS6
IGFBP5,IGFBP5
IL1RAPL2,IL1RAPL2
MRC1,MRC1
SNCG,SNCG
SHISA9,SHISA9
PTGER3,PTGER3
HPSE,HPSE
VIP,VIP
KCNJ8,KCNJ8
LHX6,LHX6
TUNAR,TUNAR
LSP1,LSP1
LYZL4,LYZL4
EGFEM1,EGFEM1P
OSR1,OSR1
NR4A2,NR4A2
NR4A1,NR4A1
NOS1,NOS1
NPAS1,NPAS1
NPNT,NPNT
RORB,RORB
NTNG2,NTNG2
NXPH2,NXPH2
SLCO5A1,SLCO5A1
POU3F1,POU3F1
OLFM3,OLFM3
VIPR2,VIPR2
PVALB,PVALB
PDE11A,PDE11A
PENK,PENK
PROKR2,PROKR2
PROX1,PROX1
RXFP2,RXFP2
WIPF3,WIPF3
UNC5B,UNC5B
TOX,TOX
CBLN4,CBLN4
CCDC80,CCDC80
SLC17A7,SLC17A7
CORIN,CORIN
ITGB8,ITGB8
